model,feature_selection,Genre,Accuracy,Precision,Recall,F1-Score,Support
RBF_SVM,lda,Δραματική,0.7009345794392523,0.4967741935483871,0.3452914798206278,0.40740740740740744,223.0
RBF_SVM,lda,Επιστημονικής Φαντασίας,0.897196261682243,0.8275862068965517,0.25,0.38400000000000006,96.0
RBF_SVM,lda,Κωμωδία,0.8678237650200267,0.38571428571428573,0.3253012048192771,0.35294117647058826,83.0
RBF_SVM,lda,Περιπέτεια,0.8744993324432577,0.6575342465753424,0.41025641025641024,0.5052631578947369,117.0
RBF_SVM,lda,Avg/Total,0.7401358957927707,0.5587706892606824,0.23571897570584374,0.30865165573030845,1523.0
RBF_SVM,tfidf,Θρίλερ,0.8344459279038718,0.6721311475409836,0.2827586206896552,0.39805825242718446,145.0
RBF_SVM,tfidf,Οικογενειακή,0.9238985313751669,0.43478260869565216,0.39215686274509803,0.4123711340206186,51.0
RBF_SVM,tfidf,Αισθηματική,0.8397863818424566,0.5555555555555556,0.4198473282442748,0.4782608695652174,131.0
RBF_SVM,tfidf,Φαντασίας,0.8678237650200267,0.7708333333333334,0.296,0.4277456647398844,125.0
RBF_SVM,tfidf,Δραματικό Θρίλερ,0.787716955941255,0.7142857142857143,0.030864197530864196,0.059171597633136085,162.0
RBF_SVM,tfidf,Εποχής,0.8277703604806409,0.5784313725490197,0.4068965517241379,0.4777327935222672,145.0
RBF_SVM,tfidf,Δραμεντί,0.7863818424566088,0.0,0.0,0.0,158.0
RBF_SVM,tfidf,Δράσης,0.9185580774365821,0.6710526315789473,0.5862068965517241,0.6257668711656441,87.0
RBF_SVM,tfidf,Δραματική,0.7236315086782377,0.5449438202247191,0.4349775784753363,0.483790523690773,223.0
RBF_SVM,tfidf,Επιστημονικής Φαντασίας,0.9025367156208278,0.7804878048780488,0.3333333333333333,0.46715328467153283,96.0
RBF_SVM,tfidf,Κωμωδία,0.8598130841121495,0.36904761904761907,0.37349397590361444,0.37125748502994016,83.0
RBF_SVM,tfidf,Περιπέτεια,0.8798397863818425,0.6238532110091743,0.5811965811965812,0.6017699115044248,117.0
RBF_SVM,tfidf,Avg/Total,0.8277887697932986,0.5560107464281406,0.32567301378857516,0.3822206048104021,1523.0
RBF_SVM,w2v,Θρίλερ,0.0,0.0,0.0,0.0,145.0
RBF_SVM,w2v,Οικογενειακή,0.0,0.0,0.0,0.0,51.0
RBF_SVM,w2v,Αισθηματική,0.0,0.0,0.0,0.0,131.0
RBF_SVM,w2v,Φαντασίας,0.0,0.0,0.0,0.0,125.0
RBF_SVM,w2v,Δραματικό Θρίλερ,0.0,0.0,0.0,0.0,162.0
RBF_SVM,w2v,Εποχής,0.8064085447263017,0.5,0.013793103448275862,0.026845637583892617,145.0
RBF_SVM,w2v,Δραμεντί,0.0,0.0,0.0,0.0,158.0
RBF_SVM,w2v,Δράσης,0.0,0.0,0.0,0.0,87.0
RBF_SVM,w2v,Δραματική,0.0,0.0,0.0,0.0,223.0
RBF_SVM,w2v,Επιστημονικής Φαντασίας,0.0,0.0,0.0,0.0,96.0
RBF_SVM,w2v,Κωμωδία,0.0,0.0,0.0,0.0,83.0
RBF_SVM,w2v,Περιπέτεια,0.8411214953271028,0.4583333333333333,0.09401709401709402,0.15602836879432622,117.0
RBF_SVM,w2v,Avg/Total,0.1413922875499572,0.08281352593565332,0.008535784635587657,0.01454230899448496,1523.0
RBF_SVM,ww2v,Θρίλερ,0.0,0.0,0.0,0.0,145.0
RBF_SVM,ww2v,Οικογενειακή,0.0,0.0,0.0,0.0,51.0
RBF_SVM,ww2v,Αισθηματική,0.0,0.0,0.0,0.0,131.0
RBF_SVM,ww2v,Φαντασίας,0.0,0.0,0.0,0.0,125.0
RBF_SVM,ww2v,Δραματικό Θρίλερ,0.0,0.0,0.0,0.0,162.0
RBF_SVM,ww2v,Εποχής,0.0,0.0,0.0,0.0,145.0
RBF_SVM,ww2v,Δραμεντί,0.0,0.0,0.0,0.0,158.0
RBF_SVM,ww2v,Δράσης,0.0,0.0,0.0,0.0,87.0
RBF_SVM,ww2v,Δραματική,0.0,0.0,0.0,0.0,223.0
RBF_SVM,ww2v,Επιστημονικής Φαντασίας,0.0,0.0,0.0,0.0,96.0
RBF_SVM,ww2v,Κωμωδία,0.0,0.0,0.0,0.0,83.0
RBF_SVM,ww2v,Περιπέτεια,0.0,0.0,0.0,0.0,117.0
RBF_SVM,ww2v,Avg/Total,0.0,0.0,0.0,0.0,1523.0
